"customer_name";"phone";"address";"city";"state";"country";"contact_name"
"Alpha Cognac";"61776555";"1 rue Alsace-Lorraine  31000";"Toulouse";"";"France";"Annette Roulet"
"Amica Models & Co.";"0114988555";"Via Monte Bianco 34  10100";"Torino";"";"Italy";"Paolo Accorti"
"Anna's Decorations, Ltd";"0299368555";"201 Miller Street Level 15 2060";"North Sydney";"NSW";"Australia";"Anna O'Hara"
"Atelier graphique";"40322555";"54 rue Royale  44000";"Nantes";"";"France";"Carine Schmitt"
"Australian Collectables, Ltd";"61938446555";"7 Allen Street  3150";"Glen Waverly";"Victoria";"Australia";"Sean Connery"
"Australian Collectors, Co.";"0395204555";"636 St Kilda Road Level 3 3004";"Melbourne";"Victoria";"Australia";"Peter Ferguson"
"Australian Gift Network, Co";"61738446555";"31 Duncan St. West End  4101";"South Brisbane";"Queensland";"Australia";"Tony Calaghan"
"Auto Assoc. & Cie.";"30598555";"67 avenue de l Europe  78000";"Versailles";"";"France";"Daniel Tonini"
"Auto Canal Petit";"147556555";"25 rue Lauriston  75016";"Paris";"";"France";"Dominique Perrier"
"Auto-Moto Classics Inc.";"6175558428";"16780 Pompton St.  58339";"Brickhaven";"MA";"USA";"Leslie Taylor"
"AV Stores, Co.";"1715551555";"Fauntleroy Circus  EC2 5NT";"Manchester";"";"UK";"Victoria Ashworth"
"Baane Mini Imports";"07989555";"Erling Skakkes gate 78  4110";"Stavern";"";"Norway";"Jonas Bergulfsen"
"Bavarian Collectables Imports, Co.";"+498961089555";"Hansastr. 15  80686";"Munich";"";"Germany";"Michael Donnermeyer"
"Blauer See Auto, Co.";"+496966902555";"Lyonerstr. 34  60528";"Frankfurt";"";"Germany";"Roland Keitel"
"Boards & Toys Co.";"3105552373";"4097 Douglas Av.  92561";"Glendale";"CA";"USA";"Leslie Young"
"CAF Imports";"+34913728555";"Merchants House 27-30 Merchants Quay  28023";"Madrid";"";"Spain";"Jesus Fernandez"
"Cambridge Collectables Co.";"6175555555";"4658 Baden Av.  51247";"Cambridge";"MA";"USA";"Kyung Tseng"
"Canadian Gift Exchange Network";"6045553392";"1900 Oak St.  V3F 2K1";"Vancouver";"BC";"Canada";"Yoshi Tannamuri"
"Classic Gift Ideas, Inc";"2155554695";"782 First Street  71270";"Philadelphia";"PA";"USA";"Francisca Cervantes"
"Classic Legends Inc.";"2125558493";"5905 Pompton St. Suite 750 10022";"New York City";"NY";"USA";"Maria Hernandez"
"Clover Collections, Co.";"+35318621555";"25 Maiden Lane Floor No. 4 2";"Dublin";"";"Ireland";"Dean Cassidy"
"Collectable Mini Designs Co.";"7605558146";"361 Furth Circle  91217";"San Diego";"CA";"USA";"Valarie Thompson"
"Collectables For Less Inc.";"6175558555";"7825 Douglas Av.  58339";"Brickhaven";"MA";"USA";"Allen Nelson"
"Corporate Gift Ideas Co.";"6505551386";"7734 Strong St.  ";"San Francisco";"CA";"USA";"Julie Brown"
"Corrida Auto Replicas, Ltd";"915552282";"C/ Araquil 67  28023";"Madrid";"";"Spain";"Martn Sommer"
"Cruz & Sons Co.";"+6325553587";"15 McCallum Street - NatWest Center 13-03  1227 MM";"Makati City";"";"Philippines";"Arnold Cruz"
"Daedalus Designs Imports";"20161555";"184 chausse de Tournai  59000";"Lille";"";"France";"Martine Rance"
"Danish Wholesale Imports";"31123555";"Vinb'ltet 34  1734";"Kobenhavn";"";"Denmark";"Jytte Petersen"
"Diecast Classics Inc.";"2155551555";"7586 Pompton St.  70267";"Allentown";"PA";"USA";"Kyung Yu"
"Diecast Collectables";"6175552555";"6251 Ingle Ln.  51003";"Boston";"MA";"USA";"Valarie Franco"
"Double Decker Gift Stores, Ltd";"1715557555";"120 Hanover Sq.  WA1 1DP";"London";"";"UK";"Thomas Hardy"
"Dragon Souveniers, Ltd.";"+652217555";"Bronz Sok. Bronz Apt. 3/6 Tesvikiye  79903";"Singapore";"";"Singapore";"Eric Natividad"
"Enaco Distributors";"932034555";"Rambla de Catalusa 23  8022";"Barcelona";"";"Spain";"Eduardo Saavedra"
"Euro Shopping Channel";"915559444";"C/ Moralzarzal 86  28034";"Madrid";"";"Spain";"Diego Freyre"
"FunGiftIdeas.com";"5085552555";"1785 First Street  50553";"New Bedford";"MA";"USA";"Violeta Benitez"
"Gift Depot Inc.";"2035552570";"25593 South Bay Ln.  97562";"Bridgewater";"CT";"USA";"Julie King"
"Gift Ideas Corp.";"2035554407";"2440 Pompton St.  97561";"Glendale";"CT";"USA";"Dan Lewis"
"Gifts4AllAges.com";"6175559555";"8616 Spinnaker Dr.  51003";"Boston";"MA";"USA";"Juri Yoshido"
"giftsbymail.co.uk";"1985558888";"Garden House Crowther Way  PO31 7PJ";"Cowes";"Isle of Wight";"UK";"Helen Bennett"
"Handji Gifts& Co";"+652241555";"Village Close - 106 Linden Road Sandown 2nd Floor 69045";"Singapore";"";" ";"Wendy Victorino"
"Heintze Collectables";"86213555";"Smagsloget 45  8200";"Aaarhus";"";"Denmark";"Palle Ibsen"
"Herkku Gifts";"+4722673215";"Drammen 121 PR 744 Sentrum  N 5804";"Bergen";"";"Norway";"Veysel Oeztan"
"Iberia Gift Imports, Corp.";"955558282";"C/ Romero 33  41101";"Sevilla";"";"Spain";"Jose Pedro Roel"
"L'ordine Souveniers";"0522556555";"Strada Provinciale 124  42100";"Reggio Emilia";"";"Italy";"Maurizio Moroni"
"La Corne D'abondance, Co.";"142342555";"265 boulevard Charonne  75012";"Paris";"";"France";"Marie Bertrand"
"La Rochelle Gifts";"40678555";"67 rue des Cinquante Otages  44000";"Nantes";"";"France";"Janine Labrune"
"Land of Toys Inc.";"2125557818";"897 Long Airport Avenue  10022";"New York City";"NY";"USA";"Kwai Yu"
"Lyon Souveniers";"+33146627555";"27 rue du Colonel Pierre Avia  75508";"Paris";"";"France";"Daniel Da Cunha"
"Marseille Mini Autos";"91244555";"12 rue des Bouchers  13008";"Marseille";"";"France";"Laurence Lebihan"
"Marta's Replicas Co.";"6175558555";"39323 Spinnaker Dr.  51247";"Cambridge";"MA";"USA";"Marta Hernandez"
"Men 'R' US Retailers, Ltd.";"2155554369";"6047 Douglas Av.  ";"Los Angeles";"CA";"USA";"Michael Chandler"
"Microscale Inc.";"2125551957";"5290 North Pendale Street Suite 200 10022";"New York City";"NY";"USA";"Kee Kuo"
"Mini Auto Werke";"76753555";"Kirchgasse 6  8010";"Graz";"";"Austria";"Roland Mendel"
"Mini Caravy";"88601555";"24 place Kluber  67000";"Strasbourg";"";"France";"Frederique Citeaux"
"Mini Classics";"9145554562";"3758 North Pendale Street  24067";"White Plains";"NY";"USA";"Steve Frick"
"Mini Creations Ltd.";"5085559555";"4575 Hillside Dr.  50553";"New Bedford";"MA";"USA";"Wing C Tam"
"Mini Gifts Distributors Ltd.";"4155551450";"5677 Strong St.  97562";"San Rafael";"CA";"USA";"Valarie Nelson"
"Mini Wheels Co.";"6505555787";"5557 North Pendale Street  ";"San Francisco";"CA";"USA";"Julie Murphy"
"Motor Mint Distributors Inc.";"2155559857";"11328 Douglas Av.  71270";"Philadelphia";"PA";"USA";"Rosa Hernandez"
"Muscle Machine Inc";"2125557413";"4092 Furth Circle Suite 400 10022";"New York City";"NY";"USA";"Jeff Young"
"Norway Gifts By Mail, Co.";"+4722121555";"Drammensveien 126 A PB 744 Sentrum  N 0106";"Oslo";"";"Norway";"Jan Klaeboe"
"Online Diecast Creations Co.";"6035558647";"2304 Long Airport Avenue  62005";"Nashua";"NH";"USA";"Valarie Young"
"Online Mini Collectables";"6175557555";"7635 Spinnaker Dr.  58339";"Brickhaven";"MA";"USA";"Miguel Barajas"
"Osaka Souveniers Co.";"+810663425555";"Dojima Avanza 4F 1-6-20 Dojima Kita-ku  530-0003";"Osaka";"Osaka";"Japan";"Mory Kentary"
"Oulu Toy Supplies, Inc.";"981443655";"Torikatu 38  90110";"Oulu";"";"Finland";"Pirkko Koskitalo"
"Petit Auto";"02555467";"Rue Joseph-Bens 532  B-1180";"Bruxelles";"";"Belgium";"Catherine Dewey"
"Quebec Home Shopping Network";"5145558054";"43 rue St. Laurent  H1J 1C3";"Montreal";"Quebec";"Canada";"Jean Fresnisre"
"Reims Collectables";"26471555";"59 rue de lAbbaye  51100";"Reims";"";"France";"Paul Henriot"
"Rovelli Gifts";"035640555";"Via Ludovico il Moro 22  24100";"Bergamo";"";"Italy";"Giovanni Rovelli"
"Royal Canadian Collectables, Ltd.";"6045554555";"23 Tsawassen Blvd.  T2F 8M4";"Tsawassen";"BC";"Canada";"Elizabeth Lincoln"
"Royale Belge";"07123672555";"Boulevard Tirou 255  B-6000";"Charleroi";"";"Belgium";"Pascale Cartrain"
"Salzburg Collectables";"65629555";"Geislweg 14  5020";"Salzburg";"";"Austria";"Georg Pipps"
"Saveley & Henriot, Co.";"78325555";"2 rue du Commerce  69004";"Lyon";"";"France";"Mary Saveley"
"Scandinavian Gift Ideas";"0695346555";"kergatan 24  S-844 67";"Boras";"";"Sweden";"Maria Larsson"
"Signal Collectibles Ltd.";"4155554312";"2793 Furth Circle  94217";"Brisbane";"CA";"USA";"Sue Taylor"
"Signal Gift Stores";"7025551838";"8489 Strong St.  83030";"Las Vegas";"NV";"USA";"Sue King"
"Souveniers And Things Co.";"+61294958555";"Monitor Money Building 815 Pacific Hwy Level 6 2067";"Chatswood";"NSW";"Australia";"Adrian Huxley"
"Stylish Desk Decors, Co.";"1715550297";"35 King George  WX3 6FW";"London";"";"UK";"Ann Brown"
"Suominen Souveniers";"+35898045555";"Software Engineering Center SEC Oy  FIN-02271";"Espoo";"";"Finland";"Kalle Suominen"
"Super Scale Inc.";"2035559545";"567 North Pendale Street  97823";"New Haven";"CT";"USA";"Leslie Murphy"
"Technics Stores Inc.";"6505556809";"9408 Furth Circle  94217";"Burlingame";"CA";"USA";"Juri Hirano"
"Tekni Collectables Inc.";"2015559350";"7476 Moss Rd.  94019";"Newark";"NJ";"USA";"William Brown"
"The Sharp Gifts Warehouse";"4085553659";"3086 Ingle Ln.  94217";"San Jose";"CA";"USA";"Sue Frick"
"Tokyo Collectables, Ltd";"+81335840555";"2-2-8 Roppongi  106-0032";"Minato-ku";"Tokyo";"Japan";"Akiko Shimamura"
"Toms Spezialitten, Ltd";"02215554327";"Mehrheimerstr. 369  50739";"Koln";"";"Germany";"Henriette Pfalzheim"
"Toys of Finland, Co.";"902248555";"Keskuskatu 45  21240";"Helsinki";"";"Finland";"Matti Karttunen"
"Toys4GrownUps.com";"6265557265";"78934 Hillside Dr.  90003";"Pasadena";"CA";"USA";"Julie Young"
"UK Collectables, Ltd.";"1715552282";"Berkeley Gardens 12  Brewery  WX1 6LT";"Liverpool";"";"UK";"Elizabeth Devon"
"Vida Sport, Ltd";"0897034555";"Grenzacherweg 237  1203";"Gensve";"";"Switzerland";"Michael Holz"
"Vitachrome Inc.";"2125551500";"2678 Kingston Rd. Suite 101 10022";"New York City";"NY";"USA";"Michael Frick"
"Volvo Model Replicas, Co";"0921123555";"Berguvsvngen  8  S-958 22";"Lule";"";"Sweden";"Christina Berglund"
"West Coast Collectables Co.";"3105553722";"3675 Furth Circle  94019";"Burbank";"CA";"USA";"Steve Thompson"
