order_line_number,quantity, price , sale_total ,order_date,quarter,product_code,customer_name,deal_size
10107-2,30,95.7,2871,2003-02-24,1,S10_1678,Land of Toys Inc.,Small
10121-5,34,81.35,2765.9,2003-05-07,2,S10_1678,Reims Collectables,Small
10134-2,41,94.74,3884.34,2003-07-01,3,S10_1678,Lyon Souveniers,Medium
10145-6,45,83.26,3746.7,2003-08-25,3,S10_1678,Toys4GrownUps.com,Medium
10159-14,49,100,5205.27,2003-10-10,4,S10_1678,Corporate Gift Ideas Co.,Medium
10168-1,36,96.66,3479.76,2003-10-28,4,S10_1678,Technics Stores Inc.,Medium
10180-9,29,86.13,2497.77,2003-11-11,4,S10_1678,Daedalus Designs Imports,Small
10188-1,48,100,5512.32,2003-11-18,4,S10_1678,Herkku Gifts,Medium
10201-2,22,98.57,2168.54,2003-12-01,4,S10_1678,Mini Wheels Co.,Small
10211-14,41,100,4708.44,2004-01-15,1,S10_1678,Auto Canal Petit,Medium
10223-1,37,100,3965.66,2004-02-20,1,S10_1678,"Australian Collectors, Co.",Medium
10237-7,23,100,2333.12,2004-04-05,2,S10_1678,Vitachrome Inc.,Small
10251-2,28,100,3188.64,2004-05-18,2,S10_1678,Tekni Collectables Inc.,Medium
10263-2,34,100,3676.76,2004-06-28,2,S10_1678,Gift Depot Inc.,Medium
10275-1,45,92.83,4177.35,2004-07-23,3,S10_1678,La Rochelle Gifts,Medium
10285-6,36,100,4099.68,2004-08-27,3,S10_1678,Marta's Replicas Co.,Medium
10299-9,23,100,2597.39,2004-09-30,3,S10_1678,"Toys of Finland, Co.",Small
10309-5,41,100,4394.38,2004-10-15,4,S10_1678,Baane Mini Imports,Medium
10318-1,46,94.74,4358.04,2004-11-02,4,S10_1678,Diecast Classics Inc.,Medium
10329-1,42,100,4396.14,2004-11-15,4,S10_1678,Land of Toys Inc.,Medium
10341-9,41,100,7737.93,2004-11-24,4,S10_1678,Salzburg Collectables,Large
10361-13,20,72.55,1451,2004-12-17,4,S10_1678,Souveniers And Things Co.,Small
10375-12,21,34.91,733.11,2005-02-03,1,S10_1678,La Rochelle Gifts,Small
10388-4,42,76.36,3207.12,2005-03-03,1,S10_1678,FunGiftIdeas.com,Medium
10403-7,24,100,2434.56,2005-04-08,2,S10_1678,"UK Collectables, Ltd.",Small
10417-2,66,100,7516.08,2005-05-13,2,S10_1678,Euro Shopping Channel,Large
10103-11,26,100,5404.62,2003-01-29,1,S10_1949,Baane Mini Imports,Medium
10112-1,29,100,7209.11,2003-03-24,1,S10_1949,"Volvo Model Replicas, Co",Large
10126-11,38,100,7329.06,2003-05-28,2,S10_1949,"Corrida Auto Replicas, Ltd",Large
10140-11,37,100,7374.1,2003-07-24,3,S10_1949,Technics Stores Inc.,Large
10150-8,45,100,10993.5,2003-09-19,3,S10_1949,"Dragon Souveniers, Ltd.",Large
10163-1,21,100,4860.24,2003-10-20,4,S10_1949,Classic Legends Inc.,Medium
10174-4,34,100,8014.82,2003-11-06,4,S10_1949,"Australian Gift Network, Co",Large
10183-8,23,100,5372.57,2003-11-13,4,S10_1949,"Classic Gift Ideas, Inc",Medium
10194-11,42,100,7290.36,2003-11-25,4,S10_1949,"Saveley & Henriot, Co.",Large
10206-6,47,100,9064.89,2003-12-05,4,S10_1949,Canadian Gift Exchange Network,Large
10215-3,35,100,6075.3,2004-01-29,1,S10_1949,West Coast Collectables Co.,Medium
10228-2,29,100,6463.23,2004-03-10,1,S10_1949,Cambridge Collectables Co.,Medium
10245-9,34,100,6120.34,2004-05-04,2,S10_1949,Super Scale Inc.,Medium
10258-6,32,100,7680.64,2004-06-15,2,S10_1949,"Tokyo Collectables, Ltd",Large
10270-9,21,100,4905.39,2004-07-19,3,S10_1949,Souveniers And Things Co.,Medium
10280-2,34,100,8014.82,2004-08-17,3,S10_1949,Amica Models & Co.,Large
10291-11,37,100,7136.19,2004-09-08,3,S10_1949,Scandinavian Gift Ideas,Large
10304-6,47,100,10172.7,2004-10-11,4,S10_1949,Auto Assoc. & Cie.,Large
10312-3,48,100,11623.7,2004-10-21,4,S10_1949,Mini Gifts Distributors Ltd.,Large
10322-1,40,100,6000.4,2004-11-04,4,S10_1949,Online Diecast Creations Co.,Medium
10333-3,26,100,3003,2004-11-18,4,S10_1949,Mini Wheels Co.,Medium
10347-1,30,100,3944.7,2004-11-29,4,S10_1949,"Australian Collectors, Co.",Medium
10357-10,32,100,5691.84,2004-12-10,4,S10_1949,Mini Gifts Distributors Ltd.,Medium
10369-2,41,100,4514.92,2005-01-20,1,S10_1949,Collectables For Less Inc.,Medium
10381-3,36,100,8254.8,2005-02-17,1,S10_1949,Corporate Gift Ideas Co.,Large
10391-4,24,100,2416.56,2005-03-09,1,S10_1949,"Anna's Decorations, Ltd",Small
10411-9,23,100,4140.23,2005-05-01,2,S10_1949,Quebec Home Shopping Network,Medium
10424-6,50,100,12001,2005-05-31,2,S10_1949,Euro Shopping Channel,Large
10107-5,39,99.91,3896.49,2003-02-24,1,S10_2016,Land of Toys Inc.,Medium
10120-3,29,96.34,2793.86,2003-04-29,2,S10_2016,"Australian Collectors, Co.",Small
